SN,Display Name ,Company Profile
7,Al Raha Beach Resort & Spa,"Al Raha Beach Resort & Spa is a distinguished 5-star beachfront resort in Abu Dhabi, offering 278 elegant rooms, suites, and private villas along a 900-meter private beach. Conveniently located 15 minutes from Abu Dhabi International Airport and 45 minutes from Dubai, the resort features eight dining venues, a luxury spa and wellness center, recreational facilities, and versatile meeting and event spaces. Combining exceptional service with contemporary comfort, it provides an ideal destination for leisure, business, and memorable seaside experiences."
8,Aloft Al Ain,"We're different. by design.

Coming or going, you’re welcome to express yourself in our comfortable and connected spaces. Make moves at Aloft Hotels as you plan the day ahead. Perfectly set in the heart of the city, Aloft Al Ain is a stylish addition to the Al Ain Square. 

Our 4-star hotel boasts close proximity to Hazza Bin Zayed Stadium and Al Ain National Museum. Be part of the buzz as soon as you set foot in Aloft Hotels. Forward-thinking, modern design awaits you. Step into a space that immediately feels upbeat and exciting."
9,Aloft Hotel Abu Dhabi,"Aloft by Marriott Abu Dhabi is a modern hotel located at the Abu Dhabi National Exhibition Centre (ADNEC), offering the perfect blend of style, comfort, and convenience. Designed for today's travelers, the hotel provides comfortable accommodations, vibrant social spaces, and seamless connectivity. Whether visiting for business or leisure, guests enjoy easy access to major exhibitions, corporate hubs, and key city attractions. With flexible event venues and the signature Aloft vibes, the hotel delivers a fresh, engaging, and memorable stay experience."
10,Anantara Qasr Al Sarab Desert Resort,"Relax, unwind and embrace the enigmatic allure of the Empty Quarter at the newly rejuvenated, award-winning Qasr Al Sarab Desert Resort by Anantara. The resort is proud to present discerning guests with an array of sumptuous accommodation, delicious flavours, thrilling desert activities as well as a signature blend of indulgences, Arabian hospitality and contemporary charm. Framed by desert vistas, our 207 rooms, suites and villas are sanctuaries appointed with modern conveniences, plush Middle Eastern fabrics, bronze chandeliers, oversized tubs and rain showers."
11,Andaz Capital Gate by Hyatt,"Andaz Capital Gate Abu Dhabi is set within the iconic Capital Gate, the world's farthest-leaning tower, adjacent to ADNEC and just 15 minutes from Zayed International Airport. The hotel features 188 contemporary rooms and suites with panoramic city and Gulf views, locally inspired design, versatile event spaces, and distinctive dining experiences. Blending modern luxury with authentic Emirati character, Andaz offers an inspiring stay for business and leisure travelers in the heart of the UAE capital."
12,Arabian Experience,
13,Arabian Ventures Tourism,"At Arabian Ventures Tourism (AV Tourism), we create seamless travel experiences across the UAE and worldwide. From handpicked hotels and customized packages to visas, transfers, tours and attractions, we make every journey effortless. Our B2B booking portal gives travel partners easy access to competitive rates and global hotel inventory. With local expertise and global reach, AV Tourism is your trusted worldwide travel partner."
14,Ayla Grand Hotel - Al Ain,"Ayla Hotels & Resorts Management Company was established in 2010 in Al Ain, UAE, and is owned by Nael Bin Harmal Investment Company, also owner of Bawadi Mall. Operating under a no-liquor concept, Ayla offers a safe, family-friendly environment respecting local traditions. The first Ayla Hotel opened in 2011, followed by Ayla Bawadi Hotel in 2014 and the five-star Ayla Grand Hotel in 2017. International expansion began with Ayla Ibri Hotel, Oman, in 2022, followed by Djibouti Ayla Grand Hotel in 2024, marking Ayla’s first presence on the African continent."
15,Bab Al Nojoum Hotels,"From the tropical island spirit of Hudayriyat to the quiet dunes of Liwa and the mangrove forests of Mugheirah, Bab Al Nojoum brings the feeling of escape into everyday life. Each destination offers its own world of nature, adventure, and calm. Together, they form a collection of close-to-home escapes where the outdoors feels limitless and life unfolds in nature's rhythm. Unleash your inner explorer, spark your curiosity, and enter a whole new world at Bab Al Nojoum, your doorway to discovery."
16,"Bab Al Qasr 
Hotel & Residences","BAB AL QASR, meaning “door of the palace,” reflects its heritage through a striking Arabic doorway and gleaming copper-toned architecture. Inspired by Arabian culture, the hotel features Bedouin-style accents, Islamic geometric patterns, and a palm-filled lobby with a falaj-inspired water feature. This five-star hotel is located on the west end of Abu Dhabi and opened in late 2016. It is 38 km from Abu Dhabi International Airport and 90 minutes from Dubai. Bab Al Qasr offers 412 hotel rooms and suites and 265 serviced residences with luxurious modern design and stunning views of the Presidential Palace, Corniche, and Arabian Gulf."
17,"Beach Rotana, Abu Dhabi","Beach Rotana Abu Dhabi is a renowned five-star waterfront resort, ideally located between downtown Abu Dhabi and Al Maryah Island. The award-winning hotel features 413 elegant rooms and suites, 12 restaurants and bars, an infinity pool, private beach, full gym, spa, tennis and squash courts, with direct access to Abu Dhabi Mall. Recognised by the World Travel Awards as the region’s leading corporate resort, Beach Rotana offers warm hospitality and exceptional experiences for both business and leisure travellers."
18,Conrad Abu Dhabi Eithad Towers,"Conrad Abu Dhabi Etihad Towers is a luxury urban resort and culinary destination, home to over 12 world-class dining venues, a luxurious spa with 13 treatment rooms, a private beach, three swimming pools, and the Observation Deck at 300, offering breathtaking 360-degree views of the city from the 74th floor. Stay inspired in its 576 elegant rooms, suites, and residences, all with spectacular views of the Arabian Gulf. The resort is just minutes from the Presidential Palace, setting the standard for luxury hospitality and extraordinary experiences. "
19,Cozmo Travel,"Cozmo Travel is a full-service travel management company operating across 10 countries and a wholly owned subsidiary of Air Arabia Group, holding Official GSA status for the airline. Our services cover corporate travel management, holidays, B2B trade travel, ground mobility and limousine hire, freight forwarding and airline representation. A multilingual team and a 24/7 call centre support clients at every stage of the journey."
20,Desert Rose Tourism LLC,"Desert Rose Tourism LLC is a leading Destination Management Company (DMC) based in Abu Dhabi, UAE, offering comprehensive tourism services across the UAE. We specialize in sightseeing, desert safaris, cultural experiences, corporate events, and luxury weddings. With dedicated teams in Abu Dhabi, Dubai, and the UK, we ensure exceptional guest service. Our exclusive Desert Rose Village offers premium overnight stays and an intimate setting for weddings, birthdays, and private celebrations."
21,Dusit Thani Abu Dhabi,"Dusit Thani Abu Dhabi is a five-star luxury hotel blending gracious Thai hospitality with contemporary elegance in the heart of the UAE capital. The hotel features 533 rooms, suites and apartments, signature dining experiences, wellness and leisure facilities, and versatile meeting and event spaces. Ideally located near key business and government districts, it offers exceptional comfort and service for business and leisure travellers, families, events and memorable celebrations."
22,Emirates Palace Mandarin Oriental Abu Dhabi,"Located on a pristine private beach, Emirates Palace Mandarin Oriental, Abu Dhabi is the epitome of luxury in Abu Dhabi, showcasing Arabian hospitality at its finest. Each of the resort's rooms and suites is furnished to the highest levels of comfort, has stunning views and offers 24-hour butler service. Twelve dining venues serve a variety of cuisines created by world renowned chefs and the resort boasts lush gardens, a lavish spa, two temperature-controlled swimming pools, a kids' club and a private marina.

Emirates Palace Mandarin Oriental is the pinnacle of luxury, reflecting the true warmth and generosity of Arabian hospitality with an Oriental flair.

Your Palace, Your Story."
23,Emirates Park Zoo & Resort,"Emirates Park Zoo and Resort is a leading destination in Abu Dhabi that brings together conservation, education, animal welfare, and memorable experiences for visitors of all ages. With diverse species, educational programs, research, sustainability initiatives, and responsible animal interactions, the zoo works to strengthen the connection between people and nature. Its offering combines entertainment, learning, and hospitality, establishing it as an institution committed to conservation and sustainable development, while supporting families, schools, communities across the UAE. "
24,ES Sport,"ES Sport connects people through the power of sport. Since 2009, we've delivered premium sports experiences, sponsorship opportunities, and bespoke tours for brands, schools, teams, and fans across the Middle East and beyond. As Official Agents for the Abu Dhabi Grand Prix, Emirates Dubai 7s, and Dubai Marathon, and former Official Agents for FIFA and ICC events, we provide unrivalled access to world-class sporting experiences while championing active lifestyles through flagship events and strategic partnerships."
25,Ethara,"Ethara is shaping the future of entertainment, sport, culture, event services, and asset management regionally and internationally. Headquartered on Abu Dhabi’s Yas Island, and with offices in Dubai and Riyadh, the company employs over 300 professionals who offer an unrivalled wealth of expertise, experience, knowledge and skills. Ethara, meaning ‘thrill’ in Arabic, operates an impressive portfolio of assets, including Yas Marina Circuit, Etihad Park, Etihad Arena and the Yas Conference Centre. The company works with leading events companies, IP owners, and entertainment partners locally and internationally to deliver world-class, first-to-market events and experiences. For further information, visit: www.ethara.com "
26,Etihad Rail,
27,Fairmont Bab Al Bahr,"Fairmont Bab Al Bahr is a landmark destination in Abu Dhabi, known for its exceptional waterfront setting, contemporary design, and iconic views of the Sheikh Zayed Grand Mosque. The hotel features elegantly appointed rooms and suites, distinctive dining venues, and world-class leisure facilities, including a private beach, Olympic-sized pool, and exclusive health club. Combining local character with global sophistication, Fairmont Bab Al Bahr delivers refined hospitality experiences for both business and leisure travellers."
28,Federal Authority for Identity & Citizenships,"VISION
A reliable identity for a pioneering security system that enhances the attractiveness of tourism and facilitates business for a safe society.

MISSION
Providing innovative services to regulate the affairs of citizenship, passports, identity, entry and residence of foreigners, and the governance of security and customs work at the ports to enhance the security of society with the attractiveness of the state for living, tourism and business facilitation.

VALUES
Competitiveness and leadership.
Integration.
Institutional proactivity and flexibility.
Happiness and positivity.
Transparency and integrity."
29,Four Points by Sheraton - Al AIn," Four Points by Sheraton Al Ain is a contemporary hotel in the heart of Al Ain, offering comfortable accommodations, warm hospitality, and modern amenities for business and leisure travelers. The hotel features stylish rooms and suites, all-day dining at elements restaurant, meeting facilities, a fitness center, outdoor pool, and convenient access to major attractions, shopping, and business districts, ensuring a relaxing and memorable stay."
30,Grand Hyatt Abu Dhabi Hotel,"Grand Hyatt Abu Dhabi Hotel & Residences Emirates Pearl offers a 5 star luxury hotel and premier events destination, celebrated for awe inspiring design and extraordinary architecture. Set in Abu Dhabi’s iconic West Corniche, it offers seamless access to the city’s business hub and high end shopping districts, just a 35 minute drive from Abu Dhabi International Airport."
31,Grand Mercure Majlis Residencies,"An upscale hotel for business and leisure with comfort of a residence. Grand Mercure Majlis Residences offers a wide range of accommodation options of fully equipped Studios, One Bedroom Suites and Two Bedroom Suites. Treat yourself to Mediterranean and Arabic delicacies at our rooftop restaurant Mezzahto, French cafe La Maison du Goût. The hotel is located in the heart of Abu Dhabi city surrounded by shopping malls, commercial centers and minutes away from key attractions."
32,Gulf Circle Tours,"Gulf Circle Tours was established in 2001 as an independent, owner-managed company supported by a dedicated & experienced team 

With offices in Abu Dhabi & Dubai, our services include:
•	Meeting and conference arrangements, including registration & promotional materials
•	Team-building activities, gala dinners, and bespoke events
•	Entertainment 
•	Tailor-made itineraries
•	Visa handling
•	Airport assistance, transfers & guided tours
•	Accommodation
•	Restaurant reservations

In short, we are your trusted partner and an extension of your own team in the UAE."
33,Happy Journey Travel & Tours L.L.C," Happy Journey Travel & Tours LLC is an Abu Dhabi-based travel agency offering personalized travel solutions at the best possible prices for leisure and business travelers. 

Our services include flight tickets, holiday packages, hotel bookings, UAE and global visas, group bookings, cruises, travel insurance, transfers, and Umrah services. 

With an experienced team and trusted partners, we make every journey smooth, comfortable, and memorable."
34,"Hilton Abu Dhabi Yas Island Cluster
","Exceptional events happen here. Our sophisticated venues are ideal for exhibitions, big events, congresses, car launches, signature events, executive board meetings, and intimate occasions. Offering 2,946 sqm of flexible event space, including multiple ballrooms, multi-purpose meeting rooms, executive boardrooms, an outdoor courtyard, expansive terrace, 900 sqm of foyer space, and an events lounge on one level with a dedicated entrance and reception. Prime waterfront location on Yas Bay, 100m from Etihad Arena, near the world's largest indoor theme park."
35,Integrated Transport Centre,
36,Intercontinental Hotel Group,
37,Jubail Mangroves Park,"Jubail Mangrove Park is Abu Dhabi’s first self-contained leisure and educational nature destination, offering guided tours, water activities, and immersive sustainability experiences. Home to a 2.3 km boardwalk and rich biodiversity, the park invites visitors to connect with nature through adventure, wellness, and conservation."
38,Le Royal Meridien Abu Dhabi,"Le Royal Méridien Abu Dhabi is a landmark five-star hotel in the heart of the UAE capital, offering contemporary accommodation, diverse dining experiences, and exceptional hospitality. Ideally located near the Corniche and major cultural attractions, the hotel caters to leisure travellers seeking authentic Abu Dhabi experiences, beachfront relaxation, and seamless service."
39,Magic Arabia,"Founded in 1985, Magic Arabia is part of Magic Travels, an independent, family-owned DMC with over 40 years of expertise and a local presence across the UAE, Oman, Egypt, Jordan, Armenia, Georgia and France. Our dedicated local teams create tailor-made experiences for FITs, groups, luxury travel and MICE. Our signature products include Magic Camps, AMAR Luxury Desert Ecolodge in the UAE and GAÏA Dahabiya on the Nile in Egypt. Magic Arabia – Local expertise. Bespoke journeys. Memorable experiences."
40,Marriott Al Forsan,"Unparalleled Elegance at Our Abu Dhabi Hotel, 5-Star Haven

Discover exceptional hospitality at Marriott Hotel Al Forsan, Abu Dhabi, located in Khalifa City within Al Forsan International Sports Resort and close to Zayed International Airport. Unwind in thoughtfully designed rooms and suites with modern amenities and inspiring views. Relax in our marble hammam, enjoy the outdoor pool, or explore dining experiences. For meetings, weddings and celebrations, flexible indoor and outdoor venues, bespoke catering and expert planning create seamless occasions. Whether visiting for business or leisure, experience comfort, convenience, and Marriott hospitality."
41,Masarra,"Masarra is a full-service Destination Management Company focused on curating a unique portfolio of experiences in Abu Dhabi and the UAE. With a team of destination experts passionate about the region’s offerings, we specialise in creating tailored destination experiences, MICE offerings, and adventure activities that leave lasting impressions."
42,Mida Travels ,"Mida Travels, one of the leading Travel and Tourism operators in Dubai since 2003,a ims at providing tailor-made packages, offering complete end to end booking solution, covering all aspects of your travel needs at an affordable price with pro-active customer service.

Concentrating on Group & Individual Travel Arrangements, we are a full-fledged agency with a dedicated team providing complete range of travel services to our corporate and leisure clients.

The Services we provide: Visa Processing, Hotel bookings, Transportation, Customized Sight-seeing Tours, Desert Safari/Dhow Cruise/Yacht cruise."
43,Millenium Al Rawdah Hotels,"Defined by its distinctive curves and striking coral-glass façade, Millennium Al Rawdah Hotel brings a contemporary expression of Arabian hospitality to Abu Dhabi. Behind its iconic architecture lies a five-star destination where warm service, spacious rooms and suites, diverse dining, leisure experiences and elegant event spaces come together. From business stays to weekend escapes and grand celebrations, every visit is designed to leave a lasting impression."
44,Miral Destinations - China/SEA,
45,Miral Destinations - India,
46,Miral Destinations - MEA,
47,Miral Destinations - Russia/CIS,
48,Miral Destinations - UK/Europe,
49,Nirvana Holding," Nirvana Holding is an Abu Dhabi-based group established to drive the sustainable growth and international expansion of its travel and tourism businesses. Its portfolio spans travel management, global travel services, tours and logistics, supported by technology, international partnerships and a commitment to service excellence. The group continues to expand its global ecosystem while building on its strong UAE foundations."
50,Park Hyatt Abu Dhabi Hotel and Villas,"Park Hyatt Abu Dhabi Hotel and Villas is a luxury retreat on Saadiyat Island, where understated elegance meets authentic Arabian hospitality. Designed for global travelers, affluent leaders, and leisure seekers, the resort blends serenity, cultural richness, and personalized service. From spacious beachfront villas and rejuvenating wellness experiences to award-winning dining, every detail reflects excellence. More than a destination, it offers a refined home-away-from-home experience, delivering comfort, seamless service, and unforgettable memories."
51,Passage to Arabia by Al Tayer Travel  ,"Passage to Arabia has been creating exceptional travel experiences since 1979. With over four decades of destination expertise, we are a trusted partner delivering innovative, customer-focused travel solutions across the uae and beyond. 

Our services include hotel reservations, tailor-made holidays, tours and excursions, mice, airline ticketing, and chauffeured transportation. Driven by passion, reliability, and excellence, we craft seamless journeys and build lasting partnerships with clients worldwide."
52,Qasr Al Watan,"Qasr Al Watan is a working Presidential palace in Abu Dhabi and a majestic cultural landmark that invites you to discover the rich legacy of knowledge and tradition that has shaped the UAE's journey. More than just a traditional palace, Qasr Al Watan boosts cultural understanding of the nation and emphasizes its incredible history. The palace stands as an icon of Abu Dhabi's skyline with a design exquisitely crafted to tribute to its Arabian heritage and artistry. You will feel the grandeur as you enter the grounds, and the structure and open halls echo its significance in Emirati culture."
53,"Ritz Carlton Abu Dhabi, Grand Canal","Experience refined luxury at The Ritz-Carlton Abu Dhabi, Grand Canal where elegant rooms and private pool villas meet exceptional leisure and dining. Unwind at the lotus-inspired Ritz-Carlton Spa with seven treatment rooms, relax on the private beach or by one of Abu Dhabi's largest pools, while little ones enjoy Ritz Kids. Savor unforgettable culinary experiences across eight restaurants and bars, including MICHELIN-selected Li Jiang and Mijana, all complemented by the legendary service that defines every stay."
54,Rixos Marina Abu Dhabi,"Rixos Marina Abu Dhabi is an iconic architectural landmark that celebrates the rich fusion of Arabic and Turkish culture, dining, and hospitality. Situated in the heart of Abu Dhabi's bustling retail, entertainment, and residential hub, the resort overlooks shimmering waters and sandy shores, embodying the city's dual identity as a cosmopolitan metropolis and an archipelago with a rich natural and aquatic heritage. With its sophisticated aquatic and Arabesque design, the resort narrates Abu Dhabi’s journey from ancient seafaring origins to a thriving modern city."
55,Rixos Premium Saadiyat,"Escape to Rixos Premium Saadiyat Island, a luxurious all-inclusive retreat in Abu Dhabi. Nestled on pristine Saadiyat Island, the resort offers crystal-clear Arabian Sea views, exceptional service, and world-class amenities. Guests enjoy a rich culinary journey across acclaimed restaurants and unwind with refreshing drinks at elegant bars and lounges—poolside, beachside, or indoors. It's the perfect blend of relaxation, indulgence, and natural beauty."
56,Rocket Destination Tourism LLC,"Rocket DMC International is a global Destination Management Company specializing in tailor-made travel across Turkey, Egypt, UAE, Spain, Morocco, Tunisia, Uzbekistan, Cuba, Montenegro, and Croatia. We deliver authentic, seamless experiences through expert local teams and strong partnerships. Our services include FIT & Group Travel, MICE, Concierge, and Ground Handling - combining innovation, precision, and passion to create journeys that inspire and endure."
57,Royal Class Travel & Tours,
58,Saadiyat Rotana Resort and Villas,
59,"Shangri-La  & Traders Hotel 
Qaryat Al Beri","Shangri-La -Nestled between a pristine 1-kilometre-long private beach and lush gardens, Shangri-La Qaryat Al Beri, Abu Dhabi is truly an oasis in the heart of the Emirates.

Traders Hotel - Anchored on a pristine private beach, Traders Hotel, Qaryat Al Beri, Abu Dhabi is an inspired destination in a vibrant metropolis. "
60,Silkhaus,"Silkhaus is a technology-driven hospitality company transforming the way people experience and manage short- and mid-term stays. With a growing portfolio of professionally operated, design-led apartments across the UAE, Silkhaus combines hotel-quality service with the comfort of home. Its technology platform streamlines booking, operations and guest experiences, while enabling property owners to maximise the potential of their assets.  "
61,Sofitel Abu Dhabi Corniche,"A glittering seafront landmark, Sofitel Abu Dhabi Corniche blends French elegance with Arabian hospitality. Ideally located in the heart of Abu Dhabi, this 280-room hotel offers stunning sea views, refined service, and premium facilities. Guests can enjoy award-winning restaurants, a swimming pool, Sofitel SPA, and a fitness center. Featuring nine meeting rooms and a grand ballroom, the hotel is perfect for business and social events. Minutes from Corniche Beach and the capital’s top attractions, it offers an exceptional stay for both business and leisure."
62,Telal Resort Al Ain,"Telal Resort Al Ain is a luxury desert retreat offering an authentic Emirati experience. Guests can choose from 10 Heritage-inspired rooms and suites and 14 Bedouin-inspired private villas—some with plunge pools and fire pits. The resort combines elegant comfort with traditional design, all set against breathtaking desert views. A range of exclusive activities await, including private safaris, falconry, camel rides, zip-lining, and cultural experiences, making it the perfect escape for luxury and adventure."
63,The Abu Dhabi Edition,
64,The Mangroves Abu Dhabi | LXR Hotels & Resorts,
65,The St. Regis Abu Dhabi,"Inspired by the Astor legacy of New York’s Gilded Age, The St. Regis Abu Dhabi blends timeless elegance with authentic Arabian hospitality. Set within Nation Towers along the Corniche, the hotel offers bespoke service, signature St. Regis Butler Service, refined accommodations, exceptional dining, and indulgent wellness. Guests may retreat to the private 200-meter beach overlooking the turquoise waters of the Arabian Gulf, where every moment is crafted with impeccable service and unforgettable experiences."
66,"The St. Regis Saadiyat Island Resort&
Al Wathba, Luxury Collection Resort, Abu Dhabi"," Showcasing Abu Dhabi’s stunning coastline and desert landscapes, our luxury hospitality portfolio delivers distinctive resort experiences. On Saadiyat Island, guests enjoy a prime beachfront setting, championship golf views, proximity to the Cultural District, personalized Butler Service, and world-class wellness and dining. Complementing this, Al Wathba offers an exclusive desert escape with luxury villas, panoramic dune, authentic Arabian heritage, and immersive cultural experiences for memorable stays, retreats, and bespoke events."
67,Travco,"With over 25 years of experience TRAVCO has evolved as one of the leading DMC’s in the Gulf with operations in UAE, Oman & Qatar.

TRAVCO offers a wide range of in destination services with dedicated staff specializing in developing bespoke programs and itineraries to suit client’s requirements from individual travelers, leisure groups to large MICE business."
